Company Name	Street Address	City	State/Province	Postal Code	Country	Telephone Number	Dossier ID	Latitude	Longitude
Adams Market	365 Adams St	Boston	Massachusetts	02122-1233	United States	617-282-4991	4732704	42.3297141	-71.0563851
"Alizach, Inc."	40 Boylston St Ste 100	Boston	Massachusetts	02116-4735	United States	617-482-8600	64857720	42.3837103	-71.0165081
"Brenner, John"	320 Neponset Ave	Boston	Massachusetts	02122-3124	United States	617-288-7938	11195833	42.3649171	-71.0534788
Bunker Hill Grocery Inc.	190 Bunker Hill St	Boston	Massachusetts	02129-2539	United States	617-242-2502	65886266	42.347334	-71.0788745
Campus Convenience	700 Albany St	Boston	Massachusetts	02118-2518	United States	617-638-5695	8641014	42.349603	-71.065742
City Convenience	130 Dartmouth St	Boston	Massachusetts	02116-5118	United States	617-267-6870	56878026	42.3688402	-71.0396882
City Mini Mart Inc	226 Washington St	Boston	Massachusetts	02108-4637	United States	617-722-9755	60438867	42.3425663	-71.0968757
Convenience Plus	40 Worcester Sq	Boston	Massachusetts	02118-2909	United States	617-424-9673	60344367	42.3465396	-71.075728
Convience Corner	1688 Dorchester Ave	Boston	Massachusetts	02122-1335	United States	617-436-9911	4910515	42.3521637	-71.0638009
Curb Appeal Landscaping	150 West St	Boston	Massachusetts	02136-1529	United States	617-361-3763	63504682	42.2969825	-71.0566246
Dan Costa	342 Hanover St	Boston	Massachusetts	02113-1917	United States	617-723-5569	1678130	42.2583002	-71.1235453
Dello Di Inc	372 Commercial St	Boston	Massachusetts	02109-5500	United States	617-391-0021	56507324	42.3661781	-71.0514823
Delphi Gift Shop	283 Tremont St	Boston	Massachusetts	02116-5611	United States	617-426-2111	8445627	42.3579497	-71.062652
Dollar Convenience	55 Temple Pl	Boston	Massachusetts	02111-1300	United States	617-423-0200	58751293	42.2829367	-71.0650672
"Eduardo S Market, Inc."	302 Norfolk St	Boston	Massachusetts	02124-3305	United States	617-288-4210	58378593	42.3628631	-71.1298134
El Condor Market	337 Paris St	Boston	Massachusetts	02128-3063	United States	617-561-0355	5038896	42.358427	-71.05092
Ell-Bern Service Corp.	584 Columbus Ave	Boston	Massachusetts	02118-1057	United States	617-536-1685	6025214	42.3890905	-70.9996118
Fenwayconvenience	76 Kilmarnock St	Boston	Massachusetts	02215-4822	United States	617-266-0987	62998733	42.3464823	-71.0707054
Fifth Avenue Corporation	199 Sumner St	Boston	Massachusetts	02128-2320	United States	617-561-6025	1942735	42.3482491	-71.0678195
Franco's Place	160 Trenton St	Boston	Massachusetts	02128-2537	United States	617-567-7474	16990306	42.3420021	-71.067855
Harvard Street Community Market	55 Harvard St	Boston	Massachusetts	02124-1930	United States	617-282-3056	7906715	42.3592776	-71.0650553
Hillside Market	82 Hillside St	Boston	Massachusetts	02120-3348	United States	617-427-6067	2876581	42.3526355	-71.1605925
Island Store	735 E 6th St	Boston	Massachusetts	02127-4307	United States	617-464-3812	8551533	42.3786898	-71.0617781
J&J Convenience Store	11 Meridian St	Boston	Massachusetts	02128-1928	United States	617-569-6320	1321976	42.3509257	-71.0493176
Jerry Peres	188 Chelsea St	Boston	Massachusetts	02128-1763	United States	617-569-0379	2801617	42.3424945	-71.0991552
John F Vaccaro	1758 River St	Boston	Massachusetts	02136-1431	United States	617-361-6847	13139637	42.3705409	-71.0389506
Kiki's Kwik Mart Inc	236 Faneuil St	Boston	Massachusetts	02135-1836	United States	617-783-5146	3784404	42.3313748	-71.0350293
Kim Won Hea	204 N Harvard St	Boston	Massachusetts	02134-1113	United States	617-787-5388	2402690	42.3562495	-71.1622559
Lees Store	980 Dorchester Ave	Boston	Massachusetts	02125-1313	United States	617-822-0098	10783035	42.3300189	-71.0567353
Metro Cafe	332 Congress St Ste 1	Boston	Massachusetts	02210-1217	United States	617-423-4042	61538740	42.3331279	-71.031387
Mirisolas	200 L St	Boston	Massachusetts	02127-4213	United States	617-269-9701	64412888	42.351347	-71.0661534
Munir Faisal	32 Brooks St	Boston	Massachusetts	02135-1717	United States	617-789-4449	16433981	42.3364604	-71.0859522
Mutual Mini Mart	529 Geneva Ave	Boston	Massachusetts	02122-1341	United States	617-740-8539	14632197	42.3692828	-71.0397679
Nl Corp	390a Dorchester St	Boston	Massachusetts	02127-2759	United States	617-269-3171	12525516	42.3488922	-71.1604603
Nora's Convenient Store	303 Newbury St	Boston	Massachusetts	02115-2809	United States	617-262-7130	11923471	42.3448503	-71.0811639
Our Neighborhood Mini Mart	482 Washington St	Boston	Massachusetts	02124-2026	United States	617-265-1445	55434844	42.2979506	-71.0760852
Penas Market	1055 Tremont St	Boston	Massachusetts	2120	United States	617-427-4895	25988255	42.2885307	-71.0471759
Perez Severiano	207 Boylston St	Boston	Massachusetts	02130-4507	United States	617-524-4223	61783800	42.3553085	-71.0574985
Primos Convenience Store	24 Joy St	Boston	Massachusetts	02114-4141	United States	617-248-6500	63672669	42.2834741	-71.0831203
S & H Convenience Inc	847 Dorchester Ave FL 1	Boston	Massachusetts	02125-1106	United States	617-288-5988	11751201	42.3494016	-71.0799789
S K Convenience Stores	100 Huntington Ave	Boston	Massachusetts	02116-6506	United States	617-262-2680	60977539	42.2924872	-71.0624094
Simon's Convenient Store	1145 Blue Hill Ave	Boston	Massachusetts	02124-3913	United States	617-288-4060	58186274	42.307634	-71.1154813
Skb's Food Store	156 Washington St	Boston	Massachusetts	02121-3616	United States	617-288-6035	17230719	42.3355062	-71.0419691
Southend Market Inc	469 Columbus Ave	Boston	Massachusetts	02116-5922	United States	617-536-7172	17997340	42.2853503	-71.0913416
St Karas Inc	60 South St	Boston	Massachusetts	02111-2759	United States	617-642-8018	66557862	42.365178	-71.063127
Sulgrave News	93 Franklin St	Boston	Massachusetts	02110-1502	United States	617-423-1149	6007032	42.3553997	-71.0606156
Sullivans Store	1 Sullivan St	Boston	Massachusetts	02129-3012	United States	617-242-1419	63343050	42.3471774	-71.1486394
The Corner Store	270 Hanover St	Boston	Massachusetts	02113-1804	United States	617-248-0907	8534407	42.3516138	-71.1189861
Three D'S Variety Store	249 E St	Boston	Massachusetts	02127-2664	United States	617-464-0559	55497726	42.3549315	-71.0616437
"Tran, Hung Nhan"	1996 Dorchester Ave	Boston	Massachusetts	02124-4703	United States	617-282-8797	1810081	42.2949811	-71.0569876
Val's Place	10 Causeway St	Boston	Massachusetts	02222-1001	United States	617-742-3662	24948457	42.3773647	-71.0318292
Vinni's Mini Market	3 Gladstone St	Boston	Massachusetts	02128-2612	United States	617-874-1770	55819203	42.2440369	-71.1381608
Visham & Son	449 Washington St	Boston	Massachusetts	02111-1303	United States	617-426-1930	58393965	42.3523622	-71.0688814
White Hen Pantry Inc	120 Byron St	Boston	Massachusetts	02128-1544	United States	617-567-7978	13507079	42.3357641	-71.0515661
Zam-Zam India Incorporated D/B/A Suffolk Market	76 Kilmarnock St	Boston	Massachusetts	02215-4822	United States	617-266-0987	57124298	42.3433662	-71.0783808
660 Corporation	775 Commonwealth Ave	Boston	Massachusetts	02215-1401	United States	617-353-3680	16595410	42.3584308	-71.0597732
660 Corporation	23 Beacon St	Boston	Massachusetts	02108-2819	United States	617-227-7989	25214836	42.3506857	-71.1089936
7-Eleven Inc.	55 Berkeley St	Boston	Massachusetts	02116-6202	United States	617-426-2746	11454761	42.3424945	-71.0991552
7-Eleven Inc.	464 Hanover St Ste 17	Boston	Massachusetts	02113-1442	United States	617-723-7599	11458094	42.3402965	-71.0817801
7-Eleven Inc.	252 W Newton St Ste 1	Boston	Massachusetts	02116-6498	United States	617-262-0622	11459368	42.3799838	-71.0335157
7-Eleven Inc.	722 Huntington Ave	Boston	Massachusetts	02115-5924	United States	617-277-4665	14208283	42.3671275	-71.0525403
7-Eleven Inc.	261 Dartmouth St	Boston	Massachusetts	02116-3517	United States	617-262-1212	15554445	42.3786463	-71.0527297
7-Eleven Inc.	70 E India Row	Boston	Massachusetts	02110-3306	United States	617-227-9534	15557691	42.3648507	-71.0622392
7-Eleven Inc.	91 Causeway St	Boston	Massachusetts	02114-1308	United States	617-227-8315	17218771	42.335454	-71.070179
7-Eleven Inc.	1306 Washington St	Boston	Massachusetts	2118	United States	617-542-1178	26690293	42.3477575	-71.1057991
"7-Eleven, Inc."	508 Park Dr	Boston	Massachusetts	02215-2901	United States	617-262-0273	6520703	42.363805	-71.0547
"7-Eleven, Inc."	451 Centre St	Boston	Massachusetts	02130-1831	United States	617-522-6853	15556338	42.3171892	-71.0566253
"7-Eleven, Inc."	121 Jersey St	Boston	Massachusetts	02215-5116	United States	617-266-6434	15557142	42.3340905	-71.1043935
"7-Eleven, Inc."	8 Park Plz Ste 6	Boston	Massachusetts	02116-3964	United States	617-720-2171	17214806	42.2620986	-71.1233281
"7-Eleven, Inc."	200 Seaport Blvd Ste 3	Boston	Massachusetts	02210-2031	United States	617-737-2695	26690547	42.3488176	-71.085448
"7-Eleven, Inc."	103 State St	Boston	Massachusetts	02109-2908	United States	617-723-0464	62841050	42.2984714	-71.0631347
"Quality Mart, Inc"	150 North Beacon St	Boston	Massachusetts	02135-2057	United States	617-859-1804	13713786	42.3821384	-71.0802473
"Tedeschi Food Shops, Inc."	717 Boylston St	Boston	Massachusetts	02116-2603	United States	617-424-6888	13028078	42.3582772	-71.0578139
"Tedeschi Food Shops, Inc."	957 Commonwealth Ave	Boston	Massachusetts	02215-1311	United States	617-783-5466	13220069	42.3500601	-71.0772948
"Tedeschi Food Shops, Inc."	1187 Hyde Park Ave	Boston	Massachusetts	02136-2808	United States	617-361-5322	13220960	42.3589479	-71.0550961
"Tedeschi Food Shops, Inc."	14 Maverick Sq	Boston	Massachusetts	02128-2313	United States	617-567-6025	14545554	42.3304184	-71.102981
"Tedeschi Food Shops, Inc."	555 E Broadway	Boston	Massachusetts	02127-4415	United States	617-269-1669	16007256	42.336287	-71.073795
"Tedeschi Food Shops, Inc."	122-128 Cambridge St	Boston	Massachusetts	2114	United States	617-367-6959	16008213	42.3550875	-71.1449482
"Tedeschi Food Shops, Inc."	357 Tremont St	Boston	Massachusetts	2116	United States	617-350-0046	17649835	42.3498436	-71.0411979
"Tedeschi Food Shops, Inc."	566-578 Dorchester Ave	Boston	Massachusetts	2127	United States	617-269-4740	64739955	42.3777614	-71.0672686
